idaction,name,hash,type,url_prefix
218,devpy.vipani.ai/rfq/buyer/create_rfq/1672,2538022295,1,2.0
219,devpy.vipani.ai/order-management/seller-invoice-view?invoiceId=791&invoiceType=child,948149008,1,2.0
220,devpy.vipani.ai/order-management/seller-invoice-view?invoiceId=792&invoiceType=child,2614435257,1,2.0
221,devpy.vipani.ai/order-management/create-asn/791,2330973507,1,2.0
222,devpy.vipani.ai/order-management/seller-shipment-details/791,4242985374,1,2.0
223,devpy.vipani.ai/order-management/create-asn/792,333874425,1,2.0
224,devpy.vipani.ai/rfq/buyer/rfq-product-selection/1672,4070274672,1,2.0
225,devpy.vipani.ai/order-management/seller-shipment-details/792,1710194724,1,2.0
226,devpy.vipani.ai/order-management/seller-shipment-list,3950894285,1,2.0
227,devpy.vipani.ai/order-management/create-dc/696,2335723141,1,2.0
228,devpy.vipani.ai/order-management/request-grn/696,1184120453,1,2.0
229,devpy.vipani.ai/order-management/create-dc/697,4232019475,1,2.0
230,devpy.vipani.ai/order-management/request-grn/697,831720979,1,2.0
231,devpy.vipani.ai/rfq/buyer/additional_rfq_details/1673,1303413671,1,2.0
232,devpy.vipani.ai/rfq/buyer/rfq-product-selection/1673,2241611494,1,2.0
233,devpy.vipani.ai/rfq/buyer/rfq-seller-selection/1673,3305496708,1,2.0
234,devpy.vipani.ai/rfq/sellers/view-rfq-details?id=1673,894411023,1,2.0
235,devpy.vipani.ai/rfq/sellers/rfq-details/295,3136531571,1,2.0
236,devpy.vipani.ai/rfq/buyer/additional_rfq_details/1674,3553891844,1,2.0
237,devpy.vipani.ai/rfq/buyer/additional_rfq_details/1675,2765301394,1,2.0
238,devpy.vipani.ai/rfq/buyer/additional_rfq_details/1676,1037727528,1,2.0
239,devpy.vipani.ai/rfq/buyer/additional_rfq_details/1677,1256015806,1,2.0
240,devpy.vipani.ai/rfq/buyer/additional_rfq_details/1678,3663878703,1,2.0
241,devpy.vipani.ai/rfq/buyer/rfq-product-selection/1676,4126585449,1,2.0
242,devpy.vipani.ai/rfq/buyer/rfq-seller-selection/1676,3043955723,1,2.0
243,devpy.vipani.ai/rfq/sellers/view-rfq-details?id=1676,1160074624,1,2.0
244,devpy.vipani.ai/rfq/sellers/rfq-details/1676,4291896175,1,2.0
245,"devpy.vipani.ai/rfq/sellers/create-quote?data=%7B%22product%22:6261,%22rfqID%22:1676%7D",1244481732,1,2.0
246,"devpy.vipani.ai/rfq/sellers/create-quote?data=%7B%22product%22:6262,%22rfqID%22:1676%7D",825477671,1,2.0
247,"devpy.vipani.ai/rfq/sellers/create-quote?data=%7B%22product%22:6259,%22rfqID%22:1676%7D",1453845746,1,2.0
